HostName;FisicoVM;SistemaOperaciona;IPaddress;PortConect
S-SDBN18;S-SDBN18;NULL;10.31.17.18;3389
S-SEBN100;S-SEBN100;Windows NT 6.1 <X64> ;10.0.17.100;3389
S-SEBN111;S-SEBN111;Windows Server 2019 Standard 10.0 <X64> ;10.0.17.111;3389
S-SEBN112;S-SEBN112;Windows NT 6.1 <X64> ;10.0.17.112;3389
S-SEBN146;S-SEBN146;Windows Server 2019 Standard 10.0 <X64> ;10.0.17.146;3389
S-SEBN187;S-SEBN187;Windows NT 6.3 <X64> ;10.0.17.202;3389
S-SEBN188;S-SEBN188;Windows NT 6.3 <X64> ;10.0.17.201;3389
S-SEBN20;S-SEBN20;Windows NT 6.3 <X64> ;10.0.17.20;3389
S-SEBN215;S-SEBN215;Windows NT 5.2 ;10.0.17.215;3389
S-SEBN2612;S-SEBN2612;Windows Server 2019 Standard 10.0 <X64> ;10.0.26.12;3389
S-SEBN2660;S-SEBN2660;Windows Server 2019 Standard 10.0 <X64> ;10.0.26.60;3389
S-SEBN27105;S-SEBN27105;Windows NT 6.3 <X64> ;10.0.27.105;3389
S-SEBN27110;S-SEBN27110;Windows Server 2012 R2 Standard 6.3 <X64> ;10.0.27.110;3389
S-SEBN27136;S-SEBN27136;Windows NT 6.1 <X64> ;10.0.27.136;3389
S-SEBN27143;S-SEBN27143;Windows Server 2016 Standard 10.0 <X64> ;10.0.27.143;3389
S-SEBN27173;S-SEBN27173;Windows NT 6.3 <X64> ;10.0.27.173;3389
S-SEBN27210;S-SEBN27210;Windows Server 2019 Standard 10.0 <X64> ;10.0.27.210;3389
S-SEBN8187;S-SEBN8187;Windows NT 6.3 <X64> ;10.8.17.187;3389
S-SESD224;S-SESD224;Windows Server 2012 R2 Standard 6.3 <X64> ;10.0.18.224;3389
S-SESN27219;S-SESN27219;Windows NT 6.3 <X64> ;10.0.27.219;3389
S-SESN27236;S-SESN27236;Windows NT 6.3 <X64> ;10.0.27.236;3389
S-SJBN12;S-SJBN12;Windows NT 5.2 ;10.46.17.12;3389
S-SLSN06;S-SLSN06;Windows NT 5.2 ;10.91.17.6;3389
SSNAVPRD;SSNAVPRD;NULL;10.0.36.170;3389
S-SNBN101;S-SNBN101;NULL;10.90.17.101;3389
S-SPBN100;S-SPBN100;Windows NT 6.1 ;10.41.17.100;3389
S-SPBN123;S-SPBN123;Windows NT 6.1 <X64> ;10.41.17.123;3389
S-TESN01;S-TESN01;NULL;10.76.17.31;3389
S-TFSIV01;S-TFSIV01;Windows NT 5.2 ;10.53.17.12;3389
S-TTSIV01;S-TTSIV01;Windows NT 5.2 ;10.51.17.13;3389
S-UFSN01;S-UFSN01;Windows NT 6.1 ;10.79.17.31;3389
S-ULBN18;S-ULBN18;Windows NT 5.2 ;10.82.17.18;3389
S-URBN18;S-URBN18;Windows NT 5.2 ;10.83.17.18;3389
S-SEBN113;S-SEBN113;Windows NT 6.1 <X64> ;10.0.17.113;3389
S-RJBN38;S-RJBN38;Windows NT 6.3 <X64> ;10.30.33.38;3389
S-SEBN2603;S-SEBN2603;Windows Server 2019 Standard 10.0 <X64> ;10.0.26.3;3389
