host;IP
S-SESN27219;10.0.27.219
S-SESN27236;10.0.27.236
S-SJBN12\PRDSBSJ01;10.46.17.12
S-SLSN06\PRODSBSL01;10.91.17.6
SSNAVPRD;10.0.36.170
S-SNBN101\PRODSBSN01;10.90.17.101
S-SPBN100\PRDSBSP01;10.41.17.100
S-SPBN123\PRDSBSP01,65225;10.41.17.123
S-TESN01\PRDSBTE01;10.76.17.31
S-TFSIV01\PRDSBTF01;10.53.17.12
S-TTSIV01\PRDSBTT01;10.51.17.13
S-UFSN01\PRDSBUF01;10.79.17.31
S-ULBN18\PRDSBUL01;10.82.17.18
S-URBN18\PRDSBUR01;10.83.17.18
S-SEBN113\HSTSISOSBPK;10.0.17.113
S-SEBN113\HSTSISOSBTF;10.0.17.113
S-SEBN113\HSTSISOSBUG;10.0.17.113
S-SEBN113\HSTSISOSBBG;10.0.17.113
S-SEBN113\HSTSISOSBGL;10.0.17.113
S-SEBN113\HSTSISOSBJU;10.0.17.113
S-SEBN113\HSTSISOSBPV;10.0.17.113
S-SEBN113\HSTSISOSBRF;10.0.17.113
S-SEBN113\HSTSISOSBAR;10.0.17.113
S-SEBN113\HSTSISOSBCF;10.0.17.113
S-SEBN113\HSTSISOSBFI;10.0.17.113
S-SEBN113\HSTSISOSBBR;10.0.17.113
S-SEBN113\HSTSISOSBCY;10.0.17.113
S-SEBN113\HSTSISOSBEG;10.0.17.113
S-SEBN113\HSTSISOSBFL;10.0.17.113
S-SEBN113\HSTSISOSBKP;10.0.17.113
S-SEBN113\HSTSISOSBMO;10.0.17.113
S-SEBN113\HSTSISOSBNF;10.0.17.113
S-SEBN113\HSTSISOSBPA;10.0.17.113
S-SEBN113\HSTSISOSBPJ;10.0.17.113
S-SEBN113\HSTSISOSBPL;10.0.17.113
S-SEBN113\HSTSISOSBSV;10.0.17.113
S-SEBN113\HSTSISOSBCM;10.0.17.113
S-SEBN113\HSTSISOSBCP;10.0.17.113
S-SEBN113\HSTSISOSBVT;10.0.17.113
S-SEBN113\HSTSISOSBBI;10.0.17.113
S-SEBN113\HSTSISOSBBV;10.0.17.113
S-SEBN113\HSTSISOSBJP;10.0.17.113
S-SEBN113\HSTSISOSBCT;10.0.17.113
S-SEBN113\HSTSISOSBFZ;10.0.17.113
S-SEBN113\HSTSISOSBGR;10.0.17.113
S-SEBN113\HSTSISOSBKG;10.0.17.113
S-SEBN113\HSTSISOSBME;10.0.17.113
S-SEBN113\HSTSISOSBNT;10.0.17.113
S-SEBN113\HSTSISOSBPB;10.0.17.113
S-SEBN113\HSTSISOSBIL;10.0.17.113
S-SEBN113\HSTSISOSBIZ;10.0.17.113
S-SEBN113\HSTSISOSBJV;10.0.17.113
S-SEBN113\HSTSISOSBLO;10.0.17.113
S-SEBN113\HSTSISOSBRB;10.0.17.113
S-SEBN113\HSTSISOSBTT;10.0.17.113
S-RJBN38\HMLCSRJ01;10.30.33.38
S-RJBN38\TSTCSRJ01;10.30.33.38
S-RJBN38\DSVCSRJ02;10.30.33.38
S-RJBN38\DSVSRRJ01;10.30.33.38
S-SEBN2603;10.0.26.3
